job_title,job_category,company_name,requirements,location,industry,salary
software developer,software developer,Fintech Innovation Canada Inc.,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Vancouver, BC",Nothing_found,"$125,000 a year"
Web developer,software developer,PALATE CAFE HASTINGS INC.,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Vancouver, BC",Nothing_found,$29.50 an hour
software development programmer,software developer,24Seven Services Center Ltd.,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"North Vancouver, BC",Nothing_found,$34.50 an hour
software developer,software developer,Five Rivers Consultants Limited,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Surrey, BC",Nothing_found,$37.40 an hour
Intermediate Javascript Developer,software developer,Later,"Significant experience with client-side Javascript including ES6+ / HTML5 / CSS / JSON
Significant experience with EmberJS or other client-side frameworks (Angular, React, Vue)
Knowledge of API design, event-handling in the browser and modern asynchronous programming
Experience with Mocha, QUnit or other Javascript testing frameworks
Write clean, maintainable, testable code
A desire to mentor junior developers
Ability to perform code reviews, create detailed plans and willingness to work collaboratively with a development team.
Excellent technical, troubleshooting and analytical skillsAssociate's Degree or Bachelor's Degree in Computer Science or equivalent work experience required.
3+ years of development experience
Entrepreneurial by nature, you excel in a fast-paced, agile environment where critical thinking and strong problem solving skills are a given
Tech startup industry is where you want to be. You thrive on the cutting edge and get excited to learn more, push boundaries and innovate every day.
Bonus: Knowledge of Ruby on Rails (it’s our backend)
Bonus: An avid Instagrammer who loves photos and pictures","Vancouver, BC",Nothing_found,"$79,500 - $97,000 a year"
software engineer,software developer,Rocket Ship Couriers Ltd.,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Surrey, BC",Nothing_found,"$88,000 - $95,000 a year"
software developer,software developer,Nothing_found,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Surrey, BC",Nothing_found,$35 an hour
Web developer,software developer,UpMeals,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp CentreHiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Vancouver, BC",Nothing_found,"$85,000 a year"
Full Stack Developer,software developer,Pixieset,"BSc in Computer Science or equivalent experience
Experience building custom web applications (beyond CMS platforms like Wordpress/Drupal)
PHP experience - Yii, Laravel and/or Symfony
Javascript experience - jQuery, ES6, Webpack, Vue.js/React
Experience with MySQL (or other RDBMS) and Redis
Solid understanding of web technologies including HTTP, RESTful services, and cloud platforms such as AWS
Familiar with basic data structure and algorithms","Vancouver, BC",Nothing_found,"$50,000 - $80,000 a year"
software developer,software developer,Bahl Consultancy Services INC,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Surrey, BC",Nothing_found,$35.50 an hour
Web Developer,software developer,VANPLE NETWORKS,Build reusable components/modules for static websites with responsive design.,"Vancouver, BC",Nothing_found,$26 an hour
software developer,software developer,ONSITE GEEKS LIMITED,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Surrey, BC",Nothing_found,$34.50 an hour
Web developer,software developer,HSMS,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Burnaby, BC",Nothing_found,$28.85 an hour
software development manager,software developer,IDmelon Technologies Inc.,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp CentreHiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Vancouver, BC",Nothing_found,$43.27 an hour
Web site developer,software developer,MINHAS FILMS,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp CentreHiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Richmond, BC",Nothing_found,$28.15 an hour
computer programmer,software developer,Bitontop Technologies INC,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Richmond, BC",Nothing_found,$36.50 an hour
software engineer,software developer,ONSITE GEEKS LIMITED,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Surrey, BC",Nothing_found,$42.50 an hour
"developer, software",software developer,Wintech IT Solutions,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Surrey, BC",Nothing_found,$35 an hour
Web developer,software developer,Millstream flour mills,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Delta, BC",Nothing_found,$29 an hour
computer programmer,software developer,Daoai Robotics Inc,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Vancouver, BC",Nothing_found,$34.50 - $36.00 an hour
Web developer,software developer,AAA Property Management Services Ltd,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Burnaby, BC",Nothing_found,$37.50 an hour
software engineer,software developer,FUTURE GEN COMMUNICATIONS,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Surrey, BC",Nothing_found,$39 an hour
Web developer,software developer,RISER TECHNOLOGIES INC,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Surrey, BC",Nothing_found,$29 an hour
Web developer,software developer,Five Rivers Consultants Limited,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Surrey, BC",Nothing_found,$30.50 an hour
software architect,software developer,ALKISS WATER,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Burnaby, BC",Nothing_found,$30 an hour
"design engineer, software",software developer,UpMeals,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Vancouver, BC",Nothing_found,"$85,000 a year"
Programmer/Analyst,software developer,PHSA,"
Graduation from a recognized degree or diploma program in Computer Science, three years of recent related experience or an equivalent combination of education, training and experience.
Ability to communicate effectively both verbally and in writing.
Ability to deal with others effectively.
Physical ability to carry out the duties of the position.
Ability to organize work.
Ability to write programs in a variety of programming languages.
Ability to operate related equipment.","Burnaby, BC",Healthcare,$39.67 an hour
software engineering manager,software developer,Voltas Engineering Ltd.,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Surrey, BC",Nothing_found,$45.67 an hour
Android Software Developer,software developer,Press-Dev,"Design and develop code for mobile applicationsDeliver quality code by applying development practices, leveraging test driven development methodology and supporting test automationParticipate in estimating project efforts and delivery timelinesParticipate in peer design and code reviewsIdentify technical, schedule, and other project risks and provide relevant feedbackProactively collaborate with teammates and communicate with project stakeholders to ensure project efforts proceed efficiently and with predictabilityUser feedback analysisProvide technical input into product roadmaps, negotiating compromises between business and technical constraintsBachelor's Degree in Computer Science/Engineering
Minimum 3 years of related experience in Software developmentMinimum 3 years of Java programmingMinimum 3 years of Android programmingUnderstanding of architecture of mobile applications, common patterns and designExperience as a Software Developer in production of commercial software developing mobile applicationsDevelopment experience with Full Stack of Java technologies (J2EE as plus), XML, SQL (Stored Procedure, View, Functions, etc...)Knowledge or experience with test driven development and agile/iterative development methodologiesAbility to multitask and prioritize multiple concurrent assignmentsAble to learn quickly and effectively apply new knowledgeStrong analytic skills, problem-solving ability and attention to detailHiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre© 2020 IndeedPrivacy CentreCookiesPrivacyTerms","Richmond, BC",Nothing_found,"$72,000 a year"
software systems integration engineer,software developer,Apisero Canada Inc.,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Vancouver, BC",Nothing_found,"$140,000 - $150,000 a year"
Software Engineering Manager - Supporters - Victoria,software developer,Change.org,30 min interview with our Recruiter1 hour interview with our Director of Engineering2.5 hour take home assignment3 hour virtual onsite with our Director of Engineering and 2 Engineering Managers30 min interview with our CTO30 min interview with our Recruiter1 hour interview with our Director of Engineering2.5 hour take home assignment3 hour virtual onsite with our Director of Engineering and 2 Engineering Managers30 min interview with our CTO30 min interview with our Recruiter1 hour interview with our Director of Engineering2.5 hour take home assignment3 hour virtual onsite with our Director of Engineering and 2 Engineering Managers30 min interview with our CTO30 min interview with our Recruiter1 hour interview with our Director of Engineering2.5 hour take home assignment3 hour virtual onsite with our Director of Engineering and 2 Engineering Managers30 min interview with our CTO,"Victoria, BC",Nothing_found,"$146,000 a year"
computer programmer,software developer,Flex Fitness Club Inc.,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Surrey, BC",Nothing_found,$36.50 an hour
iOS Developer,software developer,Later,"Develop features and fix bugs for our iOS app which is used by thousands of users every day
Develop code in Swift
Work in our iterative, agile software development process
Design and write well-structured, easily maintainable, well-documented Swift code
Embrace a test-driven development process, and conduct code reviews with other members of the dev team.
Work with our Product team to help implement user interfaces
Collaborate and work with our Customer Success team to better understand our users needs and how our product could better meet their needs.
2+ Years work experience developing Mobile applications
Bachelor degree or equivalent experience in computer science, information technology, software engineering or related.
Experience with iOS and/or Android development
Published a mobile app in the App Store or the Google Play store (include a link in your application!)
Experience developing software within an Agile development cycle
Design and write well-structured, easily maintainable, well-documented code.
Entrepreneurial by nature, you excel in a fast-paced, agile environment where critical thinking and strong problem solving skills are a given
The tech startup industry is where you want to be. You thrive on the cutting edge and get excited to learn more, push boundaries and innovate every day.
Experience leading a team or projects would be an asset.
An avid Instagrammer who loves photos and pictures is a bonus.
74,500 to 97,000 CADHiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre© 2020 IndeedPrivacy CentreCookiesPrivacyTerms","Vancouver, BC",Nothing_found,"$74,500 - $97,000 a year"
Web developer,software developer,BAL REALTY,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Surrey, BC",Nothing_found,$28 an hour
"programmer, Web",software developer,FUTURE GEN COMMUNICATIONS,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Surrey, BC",Nothing_found,$36.50 an hour
Systems Analyst (Senior Java Developer) - Enterprise Systems,software developer,Capilano University,"Designs multi-tier data-driven web applications using Java or Groovy with common frameworks such as Spring and Hibernate using either Agile or Waterfall SDLC techniques.
Design modifications and extensions to web-based ERP systems based on Java or Groovy frameworks using either Agile or Waterfall SDLC techniques.
Develops web user interfaces using HTML, CSS and Javascript to support web applications.
Support systems by finding solutions to integrate them with our ERP system
Support employees by providing solutions in areas that our ERP and SIS systems is not designed to do.
Plans, designs and develops architecture for applications; analyzes existing architecture of in-house and 3rd party applications and develops procedures to extend, integrate and enhance these applications; develops and implements applications frameworks.
Designs and implements unit and integration testing frameworks and infrastructure.
Prepares appropriate system documentation such as installation and release guides,requirement documents, use cases, and UML diagrams; prepares appropriate application documentation; recommends and documents appropriate development standards.
Provides technical leadership to Programmer/Analysts as requested by the Manager.May be required to take training and act in the capacity of a floor warden as part of the College’s Emergency Preparedness Plan (Fire, W.H.M.I.S., Earthquake).Extensive knowledge of web and windows application development using current technologies.","North Vancouver, BC",Education,"$5,515 a month"
Programmer Analyst,software developer,Douglas College,"Object Oriented ProgrammingComplex problem solvingOperations AnalysisQuality control AnalysisAcquire the knowledge of applications in the organizationAbility to quickly acquire an understanding of the businessHibernate, Tomcat, Spring, Grails, Jenkins, GIT, GIT Lab (an asset), AngularJS and jQuery, Junit, Selenium, JSON HTML5, CSSSeveral programming and scripting languages such as SQL/ANSI SQL, PL/SQL, PHP, Java, JDBC, Groovy, Python (an asset)REST and SOAP APIsWorking in UNIX, Linux and MS Windows server operating systems.Enhancing/ developing Enterprise Resource Planning multi module application software.Change management, version control.Writing secure code.Work independently with minimal supervision.Work with others in a team environment.Establish priorities and achieve deadlines.Communicate effectively in person, on the phone and in writing with administrators, faculty, staff, development team and external vendors.Establish and maintain application specific documentation and operational procedures.Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre© 2020 IndeedPrivacy CentreCookiesPrivacyTerms","New Westminster, BC",Education,"$66,394 a year"
"engineer, software",software developer,SEVEN HILLS GROUP TECHNOLOGIES INC.,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Burnaby, BC",Nothing_found,$47 an hour
Software Developer,software developer,Pidouno,"Write, modify, integrate and test software codeMaintain existing computer programs by making modifications as requiredIdentify and communicate technical problems, processes and solutionsPrepare reports, manuals and other documentation on the status, operation and maintenance of softwareAssist in the collection and documentation of user requirementsAssist in the development of logical and physical specificationsMay lead and co-ordinate teams of computer programmersMay research and evaluate a variety of software products.Extended health care8 hour shiftMonday to FridayComputer Programming: 1 year (Preferred)java: 1 year (Preferred)Yes, temporarily due to COVID-19Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre© 2020 IndeedPrivacy CentreCookiesPrivacyTerms","Vancouver, BC",Nothing_found,"$40,000 - $50,000 a year"
Software Developer,software developer,Perpetual Insurance Services,"8 hour shiftsoftware development: 3 years (Required)Yes, alwaysHiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre© 2020 IndeedPrivacy CentreCookiesPrivacyTerms","Vancouver, BC",Nothing_found,"$50,000 - $60,000 a year"
Full Stack Developer - Energy Management & Lean Manufacturing,software developer,Panevo Services Limited,Strong communication and interpersonal skillsComfortable with cloud environment and DevOps (Microsoft Azure),"Vancouver, BC",Manufacturing,"$52,700 - $100,000 a year"
Wordpress Developer,software developer,Ultrabrands,"Creating Wordpress templates and layoutsCSS custom styling to make content look greatDesign and create new websites and sectionsCustomize Wordpress themesDevelop great looking landing pages focused on generating leadsManaging and adding content to our portfolio of websitesAdjusting and customizing navigationUpdating plugins and managing website securityBack-End Development Experience is preferred2+ years of experience in a similar roleFull understanding of WordPress Front End and Back EndGood understanding of SEOExpert level with MAC and OSFamiliarity with Gimp or PhotoshopKnowledge of image authoring toolsProficient understanding of web markupPossess proficiency in Javascript and JQueryAbility to work independently with minimal supervision while achieving benchmarksDental careExtended health careVision careWordPress: 2 years (Required)Yes, occasionallyHiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre© 2020 IndeedPrivacy CentreCookiesPrivacyTerms","Delta, BC",Nothing_found,"$58,520 - $71,525 a year"
Unity Software Developer,software developer,Torus Biomedical Solutions Inc.,"Contributing to completion and refinement of the software as a team member.Writing and executing various software unit and system-level tests in the Unity 3D and Visual C# environments.Reviewing and documenting software development and testing according to the standards.Proficient in developing Unity 2D/3D software applicationsProficient in Visual C#Familiarity with MATLAB Environment is a bonusPrevious knowledge of Software life cycle processes according to IEC 62304 is considered an important asset.Strong analytical skills, ability to solve technical problems both independently and as a part of the team in a fast-paced start-up environment.8 hour shiftYes, occasionallyPersonal protective equipment provided or requiredSocial distancing guidelines in placeVirtual meetingsSanitizing, disinfecting, or cleaning procedures in placeHiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre© 2020 IndeedPrivacy CentreCookiesPrivacyTerms","Vancouver, BC",Nothing_found,"$4,179 - $9,652 a month"
Full Stack or Front End Developer (Javascript),software developer,BC Condos And Homes,"Work from home opportunitiesExtended health careDental careVision care8 hour shiftFront-end: 3 years (Required)Yes, alwaysHiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre© 2020 IndeedPrivacy CentreCookiesPrivacyTerms","Vancouver, BC",Nothing_found,$25 an hour
API Software Developer,software developer,EducationPlannerBC,Casual dressDental careExtended health carePaid time offVision careMonday to FridayGo: 1 year (Preferred)Java: 1 year (Preferred)C#: 1 year (Preferred)NoHiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre© 2020 IndeedPrivacy CentreCookiesPrivacyTerms,"Victoria, BC",Nothing_found,"$70,000 - $85,000 a year"
Web Developer,software developer,Gambit Ventures,"Develop, maintain and expand our Wordpress and Shopify sitesEnsure websites work flawlessly on any deviceBuilding and designing new pages and collectionsImplementing and debugging third-party Shopify appsBuilding our own custom appsIntegrate best SEO practices into the front-endWorking closely with project manager and marketing teamLead projects from concept to completion in a results-oriented mannerWork on multiple time-sensitive projects simultaneouslyCustomize plug-ins and themesCreate digital contentAbility to customize Wordpress and Shopify themesDeep understanding of the Shopify API, HTML, CSS, and JavaScriptUnderstanding of good web designExpertise in code integrity and organizationWell versed in mobile performanceAbility to develop, integrate and launch new Shopify appsGood project management, planning, and communication skillsKnowledge of payment gateways, navigation, and checkout logicSolid attention to detail and excellent communication skillsAble to work closely with the design team to develop pagesBonus points if you’re well-versed in SEO","Vancouver, BC",Nothing_found,$21 an hour
Software Developer,software developer,Negocios IT Solutions LLC,"Must-haveReally strong C++ development experienceSome MacOS experienceStrong Agile software development experienceMature enough to be part of an agile virtual global teamConfident to ask for help, share status, give helpMature enough to get constructive feedback on code and designFocused on clean good codeComfortable working in self-organizing teamsExcellent communication skillsNice-to-have bonus skillsC++ version 11 or betterAudio server plugin API experienceDriver experience (user space, not kernel level)Experience with 5.1 / 7.1 audioExperience with keyboard or mouse event capture/injectionExperience with WacomPeer programming experienceApple ecosystem experienceKnow about iOS or MacOS app publishing, app packaging, app signingLocationVancouver/Canada preferredUS based as second choice (e.g. Cupertino, Austin)ToolsGit, Bitbucket, Atlassian Suite8 hour shiftComputer Programming: 1 year (Preferred)software development: 1 year (Preferred)Yes, temporarily due to COVID-19Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre© 2020 IndeedPrivacy CentreCookiesPrivacyTerms","Vancouver, BC",Nothing_found,"$75,000 - $80,000 a year"
Full-Stack WordPress Web Developer,software developer,Loomo Marketing,"2-3 years of experience working with WordPressExperience building, maintaining and troubleshooting WooCommerce websitesFamiliarity with a Git-based workflow for Web DevelopmentExperience with Dev/Stage/Prod workflowKnowledge of PHP, MySQL, CSS, HTML, JavaScriptExperience in debugging, problem-solving, and fixing websitesExperience managing multiple competing prioritiesGood understanding of accessibility considerations and web standards","Vancouver, BC",Nothing_found,$25 - $30 an hour
Power Platform Developer,software developer,Logic V Inc.,Company eventsDental careExtended health carePaid time offVision careWork from homeCompany eventsDental careExtended health carePaid time offVision careWork from homeCompany eventsDental careExtended health carePaid time offVision careWork from home,"Vancouver, BC",Nothing_found,"$50,000 a year"
Software Developer,software developer,Scanline VFX,"Maintains and enhances existing CI/CD processes and key parts of the release proceduresMonitors, configures, and administers the build systemLeverages current technology research and development trends to innovate and advance Scanline VFX’s technologiesDesigns, implements, and release state-of-the-art components and applications for mission-critical, high performance, globally distributed systemsGathers requirements across large collaboration efforts that span multiple departments and/or disciplinesWrites technical briefs and user documentationPartners with software development leadership and pipeline team to identify and schedule tasksBachelor's Degree in Computer Science, Computer Engineering, or Electrical Engineering or equivalent work experienceMinimum five (5) years demonstrated work experience with PythonBasic DCC familiarity with 3ds Max, Maya, Houdini, Unreal, NukeExpert knowledge of a build and source control system (e.g. Git, Plastic)Expert knowledge Jenkins configuration and operationsExperience implementing in C/C++Good hands on experience with SQL/MySQLStrong knowledge of Windows/Linux/Mac OS environmentsStrong written and verbal communication skillsExperience with Agile methodology, test methodology, test-driven development, source control management, and automated testingDental careExtended health careLife insuranceMonday to FridayYes, temporarily due to COVID-19AboutHelp Centre","Vancouver, BC","Arts, Entertainment & Recreation","$50,338 - $148,475 a year"
Web Developer,software developer,Sunnyfuture Group,8 hour shiftWeb Development: 1 year (Preferred)Mandarin (Required)Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre© 2020 IndeedPrivacy CentreCookiesPrivacyTerms,"Vancouver, BC",Nothing_found,"$60,000 a year"
UI Software Developer,software developer,EducationPlannerBC,Casual dressDental careExtended health carePaid time offVision careMonday to FridayJavaScript/Typescript: 1 year (Preferred)HTML: 1 year (Preferred)System analysis and development: 5 years (Preferred)NoHiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre© 2020 IndeedPrivacy CentreCookiesPrivacyTerms,"Victoria, BC",Nothing_found,"$70,000 - $85,000 a year"
Azure FullStack Developer,software developer,HCL Americas,"Paid time offWork from home8 hour shiftAzure Devops: 1 year (Preferred)C#: 3 years (Preferred)Yes, temporarily due to COVID-19Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre© 2020 IndeedPrivacy CentreCookiesPrivacyTerms","Vancouver, BC",Nothing_found,$40 - $65 an hour
Software Engineer - Java - Intermediate,software developer,Agartee Technology Inc.,JavaIAM,"Vancouver, BC",Nothing_found,"$49,936 - $100,000 a year"
Full Stack Developer (c++),software developer,Strata Identity,"Use your deep understanding of Golang to build Strata’s Maverics identity orchestration platform.Participate and drive all stages of the SDLC using a methodology inspired by Pivotal Lab’s Agile model.Work with Product and Design closely to collaborate with other engineers and teams to implement new features, improvements, and fixes that need to handle our current and future scale.Build and Run software following a DevSecOps modelBuild new and maintain current features by contributing across the whole technical stack.Use Test-Driven Development to build, debug, and resolve production issues and implement fixes for them.Evaluate new technologies and techniques to improve overall practices.Instrument, monitor, and operate the code you write and services you build. This includes on-call rotations.Help with design and code review, and ensure good engineering practices are being appliedContribute to key areas of large scale, Go-based Identity Management product development, being ready to lead where your expertise shinesWork closely with product management and architects to improve the products and develop new featuresMentor and be mentored, coach and be coached, as part of an ever-growing engineering team.Place a high value on security and reliability.Take an agile, iterative approach to development, dividing long-term goals into incremental milestones.Have the ability to be self-directed and be effective working independently, yet feel equally comfortable contributing in a team environment.Work well with technical and non-technical people to deliver high-value results.Enjoy being part of a highly collaborative, remote-friendly environment.Are a good communicator and enjoy interacting with people.Bring the right attitude to the team: ownership, accountability, and attention to detail.Possess the desire to learn and curiosity to understand how and why things work.Degree in Computer Science or equivalent work experience5+ years experience in software development and engineering for cloud-native or an enterprise software companyHelpful but not necessary Knowledge of on-premises identity (SiteMinder, OAM, ClearTrust, Ping, ForgeRock) and cloud identity (AzureAD, Okta, Google, and AWS)Experience with at least one standard network security protocol (SAML, OAuth, LDAP, and OIDC)Understanding of enterprise identity infrastructure and core security concerns of cloud and on-premises environmentsSolid experience with HTTP, Web application architectures, and cloud platforms.Proficient in C/C++Interest in programming with GolangExperience with Linux, networking, web, and app servers.Experience designing and developing large scale applications, including the design and implementation of modern web applicationsGrounding in modern software engineering practices and design patternsSolid understanding of the technical fundamentals of networking and cloud-based applicationsDental careExtended health careFlexible schedulePaid time offStock optionsVision careMonday to FridayC/C++: 5 years (Required)Go: 1 year (Required)Yes, occasionallyRemote interview processSocial distancing guidelines in placeVirtual meetingsHiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre© 2020 IndeedPrivacy CentreCookiesPrivacyTerms","Vancouver, BC",Nothing_found,"$100,000 - $140,000 a year"
Full Stack Developer,software developer,PS DDB,"Work from home8 hour shiftWeekendsReactJS: 3 years (Preferred)software development: 3 years (Preferred)HTML/CSS: 3 years (Preferred)AngularJS: 3 years (Preferred)Yes, temporarily due to COVID-19Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre© 2020 IndeedPrivacy CentreCookiesPrivacyTerms","Vancouver, BC",Nothing_found,$35 - $60 an hour
Ruby on Rails Developer / Specializing in APIs and Integrations,software developer,Loft47 Technologies Inc.,Dental careDisability insuranceEmployee stock purchase planExtended health careFlexible scheduleLife insurancePaid time offStock optionsVision careWork from home,"Vancouver, BC",Nothing_found,"$70,000 - $100,000 a year"
